,I-95 North,I-95 South,95 Express North,95 Express South,I-195 East,I-195 West,SR 826 North,SR 826 South,US-1 North,US-1 South
"21-07-2019, 05 PM",1,0,1,0,0,0,0,0,0,0
"21-07-2019, 06 PM",1,0,0,0,0,0,0,0,0,0
"21-07-2019, 07 PM",1,0,0,0,0,0,0,0,0,0
"21-07-2019, 08 PM",1,1,0,0,0,0,0,0,0,0
"21-07-2019, 09 PM",1,1,0,0,0,0,0,0,0,0
"21-07-2019, 10 PM",1,0,0,0,0,0,0,0,0,0
"21-07-2019, 11 PM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 12 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 01 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 02 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 03 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 04 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 05 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 06 AM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 07 AM",0,0,1,0,0,0,0,0,0,0
"22-07-2019, 08 AM",0,0,0,0,0,0,0,0,0,0
"22-07-2019, 09 AM",0,0,0,1,0,0,0,0,0,0
"22-07-2019, 10 AM",0,0,0,0,0,0,0,0,0,0
"22-07-2019, 11 AM",0,0,0,0,0,0,0,0,0,0
"22-07-2019, 12 PM",0,0,0,0,0,0,0,0,0,0
"22-07-2019, 01 PM",0,0,0,1,0,0,0,0,0,0
"22-07-2019, 02 PM",0,0,1,0,0,0,0,0,0,0
"22-07-2019, 03 PM",0,0,1,0,0,0,0,0,0,0
"22-07-2019, 04 PM",0,0,1,0,0,0,0,0,0,0
"22-07-2019, 05 PM",1,0,0,0,0,0,0,0,0,0
"22-07-2019, 06 PM",0,0,1,0,0,0,0,0,0,0
"22-07-2019, 07 PM",0,0,1,0,0,0,0,0,0,0
"22-07-2019, 08 PM",0,0,0,0,0,0,0,0,0,0
"22-07-2019, 09 PM",1,1,0,1,0,0,0,0,0,0
"22-07-2019, 10 PM",1,1,1,1,0,0,0,0,0,0
"22-07-2019, 11 PM",1,1,1,1,0,0,0,0,0,0
"23-07-2019, 12 AM",1,1,1,1,0,0,0,0,0,0
"23-07-2019, 01 AM",1,1,0,1,0,0,0,0,0,0
"23-07-2019, 02 AM",1,1,0,1,0,0,0,0,0,0
"23-07-2019, 03 AM",1,1,0,1,0,0,0,0,0,0
"23-07-2019, 04 AM",1,1,0,1,0,0,0,0,0,0
"23-07-2019, 05 AM",1,1,0,1,0,0,0,0,0,0
"23-07-2019, 06 AM",1,1,0,1,0,0,0,0,0,0
"23-07-2019, 07 AM",0,1,0,0,0,0,0,0,0,0
"23-07-2019, 08 AM",1,1,0,1,0,0,0,0,1,0
"23-07-2019, 09 AM",1,0,0,1,0,0,0,0,0,0
"23-07-2019, 10 AM",0,1,0,1,0,0,0,0,0,0
"23-07-2019, 11 AM",0,0,1,0,0,0,0,0,0,0
"23-07-2019, 12 PM",0,0,0,0,0,0,0,0,0,0
"23-07-2019, 01 PM",0,0,0,0,0,0,0,0,0,0
"23-07-2019, 02 PM",0,0,0,1,0,0,0,0,0,0
"23-07-2019, 03 PM",0,0,0,0,0,0,0,0,0,0
"23-07-2019, 04 PM",0,0,0,0,0,0,0,0,0,0
"23-07-2019, 05 PM",0,0,0,1,0,0,0,0,0,0
"23-07-2019, 06 PM",0,0,1,1,0,0,0,0,0,0
"23-07-2019, 07 PM",0,0,0,1,0,0,0,0,0,0
"23-07-2019, 08 PM",0,0,0,0,0,0,0,0,0,0
"23-07-2019, 09 PM",1,1,1,0,0,0,0,0,0,0
"23-07-2019, 10 PM",1,1,1,0,0,0,0,0,0,0
"23-07-2019, 11 PM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 12 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 01 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 02 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 03 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 04 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 05 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 06 AM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 07 AM",1,0,0,0,0,0,0,0,0,0
"24-07-2019, 08 AM",0,0,0,0,0,0,0,0,0,0
"24-07-2019, 09 AM",0,0,0,0,0,0,0,0,0,0
"24-07-2019, 10 AM",0,1,1,0,0,0,0,0,0,0
"24-07-2019, 11 AM",0,0,1,0,0,0,0,0,0,0
"24-07-2019, 12 PM",0,0,0,0,0,0,0,0,0,0
"24-07-2019, 01 PM",0,0,0,0,0,0,0,0,0,0
"24-07-2019, 02 PM",1,0,1,1,0,0,0,0,0,0
"24-07-2019, 03 PM",0,0,0,0,0,0,0,0,0,0
"24-07-2019, 04 PM",1,0,0,0,0,0,0,0,0,0
"24-07-2019, 05 PM",1,0,0,1,0,0,0,0,0,0
"24-07-2019, 06 PM",1,0,0,0,0,0,0,0,0,0
"24-07-2019, 07 PM",1,0,1,0,0,0,0,0,0,0
"24-07-2019, 08 PM",0,0,0,0,0,0,0,0,0,0
"24-07-2019, 09 PM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 10 PM",1,1,1,0,0,0,0,0,0,0
"24-07-2019, 11 PM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 12 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 01 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 02 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 03 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 04 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 05 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 06 AM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 07 AM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 08 AM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 09 AM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 10 AM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 11 AM",0,0,0,1,0,0,0,0,0,0
"25-07-2019, 12 PM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 01 PM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 02 PM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 03 PM",0,0,1,0,0,0,0,0,0,0
"25-07-2019, 04 PM",0,1,1,0,0,0,0,0,0,0
"25-07-2019, 05 PM",0,0,1,0,0,0,0,0,0,0
"25-07-2019, 06 PM",0,0,0,0,0,0,0,0,0,0
"25-07-2019, 07 PM",1,0,0,0,0,0,0,0,0,0
"25-07-2019, 08 PM",1,0,0,0,0,0,0,0,0,0
"25-07-2019, 09 PM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 10 PM",1,1,1,0,0,0,0,0,0,0
"25-07-2019, 11 PM",1,1,1,0,0,0,0,0,0,0
